reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
8e700f3e-c1cd-4a5d-8058-e51fdf2be68c,Muhammad Ridwan,https://play-lh.googleusercontent.com/a/AEdFTp5hMkTkZ7DorGSrrCD--7Tnnzr8TSy2cj790Jyj=mo,"Game nya bagus sebenernya, tp busuk banget servernya, dikit dikit menghubungkan, padahal buat main game lain lancar, buat YouTube aja lancar, tp pas buka ini game tiap pencet apa menghubungkan, pencet ini menghubungkan jadi males mainnya",2,8,1.1.52,12/31/2022 4:00,,
51778dac-48a8-43a1-a545-ff8970602cdd,Fajri Ridha,https://play-lh.googleusercontent.com/a-/AD5-WCnu0vFwvk0h6L-Vp5RWsBYiyTxBZ96HHC2QiM0K,"Ga bsa di mainkn bru instal pas masuk semua lyarny hitam yg ad cma suarany, auto pindah game sebelah",1,0,,12/29/2022 23:50,,
a7dcaed7-0188-4e8d-8a78-4a4fe7531d33,LET'S START,https://play-lh.googleusercontent.com/a-/AD5-WCmH-RYLK1pjXUQAobAAl8pIlQTB7vi8FBkmF7yy,"Dari segi gameplay bagus, storynya juga menarik",5,0,,12/28/2022 17:06,"Terima kasih kak untuk ulasannya, jika ada saran, masukan dan kritik jangan sungkan untuk mengirimkan ke cs@agate.id ya :) Masukan kakak akan sangat bermanfaat untuk pengembangan kami agar bisa memberikan pengalaman bermain yang lebih baik lagi ke depannya. Terima kasih banyak. Have a good day :)
",12/29/2022 2:36
66bf36e4-25af-4527-a434-24582294bf90,Gila Games,https://play-lh.googleusercontent.com/a/AEdFTp7Fkd5ZnhFkWfcjTRXXxkG4AcqfXdQyq9J9QYag=mo,Mantap ni game.. game play bagus.. story bagus.. sama ane demen banget ama battle musiknya bikin semangat.. bagusla.. saran saya.. adain fitur reset hero supaya resources nya bisa balik lagi sma tolong story modenya d lanjutkan lagi.. itu aja dlu.. tetap berkembang ya.. maju terus dev indonesia 👍✊,5,1,0.83.01,12/21/2022 13:27,"Terima kasih kak untuk ulasan nya. Saran dan kritik dari kakak akan kami tampung dulu ya. Kedepan nya kami akan berusaha mewujudkan dan menambahkan masukan yang kakak berikan. Agar bisa memberikan pengalaman bermain yang lebih baik lagi. Have a good day!
",1/15/2021 2:35
23f9f2a4-cb87-4967-b614-a81b191d71b6,Zaky Firmansyah,https://play-lh.googleusercontent.com/a-/AD5-WCkjcxrxmLam-ETzq6FGYZfcpFALEw3Q7cA0n5_kwg,Tolong kembangkan menjadi game yang mirip dengan pokemon go :),5,0,,12/18/2022 11:34,,
dc8c84fb-bee0-4b4e-95b8-2cf77b3251b3,Piikki,https://play-lh.googleusercontent.com/a-/AD5-WClSReykJqSZ9xU_kIrNNA2fxAkeNgflcrag7bke,"Terlalu berat untuk ram 3gb,jadi g bisa main padahal kulihat seru TvT",4,0,,12/14/2022 8:27,,
fa8de207-3700-4ce3-a35f-259de7d41b35,Mulyaa Yuda,https://play-lh.googleusercontent.com/a-/AD5-WCmsgSmAu5CGXHs6M-tObMn3y1prXLI7hz9TSmpcog,"jujur ini game harusnya bagus banget, dari segi gameplay, story, event, cuma masi banyak banget kekurangannya. BACA INI DEVELOPER AGATE GAMES! Dari material ascend star character yang terlalu susah menurut saya kurangin materialnya, terus dari segi fitur yang menurut saya kurang banget, harus ada fitur balikin level karakter ke level 1 biar memudahkan player mencari material level up, YANG LEBIH PARAH KETIKA ASCEND STAR HERO PAKE MATERIAL HERO LEVEL TINGGI GA DIBALIKIN MATERIAL LEVEL UP HERONYA!",2,25,1.1.52,12/10/2022 9:52,,
acb1ed19-4476-420f-8740-7d33d1d2bcdc,M Fahru,https://play-lh.googleusercontent.com/a-/AD5-WCkiHM4SNqvlkVqN5yfHAcaSe9E5rCCpDFO72mLC0g,"saya suka tapi drop ratenya naikin biar dapet B5, terus slot atmanya terlalu sedikit boros diamond kalo harus beli terus untuk nambah slot atma di inventori atma, dan reset atma karena cari bahan untuk up atma susah, masa harus ancuruin atma padahal lumayan buat bahan up bintang, makasih :)",5,0,1.1.52,12/9/2022 17:16,"Terima kasih kak untuk ulasannya, jika ada saran, masukan dan kritik jangan sungkan untuk mengirimkan ke cs@agate.id ya :) Masukan kakak akan sangat bermanfaat untuk pengembangan kami agar bisa memberikan pengalaman bermain yang lebih baik lagi ke depannya. Terima kasih banyak. Have a good day :)
",12/9/2022 1:04
50912a49-5fb4-41c0-a65b-28baaec8b4db,Aris Wahyudi,https://play-lh.googleusercontent.com/a-/AD5-WCm42p1GIfIPu86UGx0OcY9kfdtNANOocuDJujBa-w,SUPPORT New update version kompatibel device Realme C 30 architecture Arm7,5,0,,12/9/2022 12:09,,
f8a213e0-afd5-41e3-a326-51dce0c9bc89,Bintang Fajar,https://play-lh.googleusercontent.com/a/AEdFTp65YllrkuqFTgDfHXsbLJp0TWvkuqRzD4LczQgc=mo,"Gamenya sangat menarik, membuat nostalgia dengan game Brave Frontier. Semoga kedepannya game ini bisa berkembang lebih jauh dan mengeluarkan semua mahkluk mitologi dari Nusantara",5,10,1.1.52,12/7/2022 11:39,"Terima kasih kak untuk ulasannya, jika ada saran, masukan dan kritik jangan sungkan untuk mengirimkan ke cs@agate.id ya :) Masukan kakak akan sangat bermanfaat untuk pengembangan kami agar bisa memberikan pengalaman bermain yang lebih baik lagi ke depannya. Terima kasih banyak. Have a good day :)
",12/8/2022 2:07
c4e5ab04-bb01-436b-b2d0-5cadf0522110,22_Fakih Nurfianto,https://play-lh.googleusercontent.com/a-/AD5-WCmZP5Z0dAhclrre_-9MUaT5G8zCmb9OVYkvdIC05A,Ga tau kenapa ga bisa login. Jadi harus login pake guest habis itu selesai tutorial awal malah ngeblank,2,0,1.1.52,12/7/2022 4:29,,
de1be413-58eb-4519-b584-5d3d9e73d64c,Renjer Kuning,https://play-lh.googleusercontent.com/a/AEdFTp4Nw9Ksdfk9bWfT5Lj5jIZ80qSUOeBATzQkf0_-=mo,"Setelah 3 hari main terasa berat bgt, boros btre, bikin hp panas padahal pke power saving, utk game sendiri sangat membosankan, gak ada fitur reset LV, jadi lu harus naikin dr awal hero baru. Poin plusnya itu dr skill yg bisa di combo itu bagus bgt.",1,0,,12/6/2022 14:52,,
da412dae-2656-4f63-be48-084544d3ed5e,diamond skull,https://play-lh.googleusercontent.com/a-/AD5-WCl8UOg5JQOigzPjJAyixqyoH46QrRq9pmdLyGQR,"Aku dulu pernah main ni game dan itu seru banget, tapi sekarang aku malah gabisa main karna pas aku mainin malah layar nya jadi hitam dan gabisa di apa apain tolong di perbaikiya udah gasabar main nih",3,0,1.1.52,12/5/2022 22:26,,
